"County
(by population size) ",Type of Law,"Population
(2023)",Area,City,"Report Category
(type of incident reported)","Notes
(explanation of ordinances with dates on when proposed/created/enforced)"
Los Angeles County,Charter,"9,663,345","4,060 sq mi
(10,515 km2)",Santa Monica,Past Ordinance,"Santa Monica had an existing, unenforceable camping ordinance. In September 2024, they amended it to reinstate and enforce it. 4.08.095 Prohibition against camping in public places. Ordinance extends even to sleeping bags, pillows, and blankets."
,,,,Baldwin Park,Past Ordinance,"Existing codes 99.01-99.04 banned camping, which was unenforceable until Grants Pass decision. Enforcement has likely begun again, as shown in a July 2024 internal staff memo recommending it. "
,,,,Hermosa Beach,Past Ordinance,"10/31/24 Press release said that anti-camping ordinances will be enforced post Grants Pass. Language: ""Enforcing Public Camping & Loitering Regulations: In line with the recent Supreme Court Grants Pass decision, local laws prohibit camping or sleeping in vehicles on public streets and overnight camping on the beach. Hermosa Beach also enforces laws that prevent loitering in public spaces that obstruct pedestrian movement or cause quality of life impacts.""  - Hermosa is currently considering a new ordinance - return!"
,,,,Arcadia,Past Ordinance,"City of Arcadia website - Arcadia’s anti-camping laws paused enforcement after *Martin v. Boise*, and have resumed post-Grants Pass"
,,,,Glendale,Past Ordinance,Existing ordinance 9.28.010-9.28.040 prohibited camping. Glendale city council voted to resume enforcement.
,,,,Long Beach,Past Ordinance,"Long Beach PD now has discretion to enforce existing anti-camping ordinance. Internal memo primarily discusses citations, but also arrests, especially following repeated complaints or ""related criminal conduct."" Long Beach has been conducting widespread sweeps. "
,,,,Malibu,Past Ordinance,"Per Malibu city website - said that Grants Pass won't change much, but did specify 72-hour notices to vacate encampments on public property, when they violate 8.36.050. Will cite unhoused people with ""cite and release"" system."
,,,,Irwindale,Proposed Ordinance,"2024 election - Irwindale passed a measure for a slight sales tax increase to fund, among many other things, ""cleaning up homeless encampments."" "
,,,,Arcadia,Past Ordinance,"Arcadia had an existing camping ordinance that was unenforceable under Martin. Per their website, they will resume enforcement. "
,,,,San Dimas,Proposed Ordinance,"San Dimas actually amended their municipal code (not just changing enforcement for an additional code, post Grants Pass). That's code 1310. It is standard language, authorizing citations for storage of belongings on public property and erecting campsites/using camp equpment, with general language about promoting the health and safety of the community."
,,,,Pasadena,Past Ordinance,"Probably enforcing their standard 2016 camping ordinance. Although the most recent news (September 2024) only said that the mayor and City Council were ""discussing"" actions in light of Grants Pass, and that they were not criminalizing homelessness, they did receive a $2.7 million ""Encampment Resolution"" grant from the state in October. "
,,,,San Fernando,Proposed Ordinance,"Actually adopted a new ordinance - ""Prohibit Encampments and Storage of Personal Property in Public Places"" - prosecution as a misdemeanor or public nuisance. 72 hour notice of sweeps. "
,,,,Signal Hill,Proposed Ordinance,"Signal Hill updated its camping ordinance in August 2024 to enforce anti-camping post-Grants Pass. Extends to camping, ""camp facilities,"" and ""camp paraphernalia. "
,,,,Torrance,Proposed Ordinance,"Torrance updated its camping ordinance to prohibit camping in public places, fires in parks and public places, ""maintaining shelters,"" and ""loitering at bus stops."" "
,,,,Whittier,Proposed Ordinance,"Whittier had an existing camping ordinance and released a statement of support post-Grants Pass, though hasn't updated its municipal code. Is probably enforcing the existng ordinance, which extends to bedding. Ordinance no. 3105. "
,,,,Whittier,Anecdote/Interview,"Impact: Whittier kept a shelter open in order to allow its camping ordinance to be enforced under Boise, but is now considering having fewer beds available because of Grants Pass. "
,,,,Long Beach,Anecdote/Interview,"As Long Beach implemented city-wide sweeps, a 55-year-old man named Fernando Gonzalex was displaced. The city did not find him a bed. https://www.latimes.com/california/story/2024-08-26/long-beach-homeless-encampments-cleared"
,,,,Redondo Beach,Proposed Ordinance,"Redondo Beach, in accordance with Grants Pass, may restrict camping near supportive housing. "
,,,,Manhattan Beach,Past Ordinance,"Manhattan Beach's camping provision (4.140), enacted shortly before Boise, and includes pillows and sleeping materials, and personal property, is now being enforced. "
,,,,Los Angeles,Past Ordinance,"The City of LA has been resisting Newsom's encampment clearance policies, however already had an anti-camping ordinance on the books, pre-Boise. Reporting on that ordinance says that it cost $3 million and permanently housed two people. "
,,,,El Segundo,Proposed Ordinance,9/17/24 - El Segundo City Council amended the municipal code with new camping ordinances. Encampments on public property will be given 24 hour clearance notices. PATCHES team offers outreach.
San Diego County,Charter,"3,269,973","4,204 sq mi
(10,888 km2)",Carlsbad ,Past Ordinance,"Aug. 2024
City of Carlsbad accepted $5.3 mil from Encampment Resolution Funding Program to ""address"" State Route 78 encampments. "
,,,,Carlsbad ,Past Ordinance,"Aug. 2024
City of Carlsbad accepted $5.3 mil from Encampment Resolution Funding Program to ""address"" State Route 78 encampments. "
,,,,Carlsbad ,Statistics,"Jan. 2025
40 Encampents cleared. 672 people ""served,"" 133 helped with transition to housing (not specified if housing secured)."
