key,county,jurisdiction,category,cite,text
Adelanto|513405f94a,San Bernardino County,Adelanto,Past Ordinance,,Prohibits sitting or lying on public ways
Albany|Section 8-4.4,Alameda County,Albany,Past Ordinance,Section 8-4.4,"Section 8-4.4 of the municipal code addresses camping specifically:

1. It states that “it is unlawful for any person to engage in camping in any City-owned property”
2. Where camping means “to set up, pitch, occupy, or leave camp facilities or use camp paraphernalia” (§8-4.2)
3. HOWEVER, it “will not be enforced against indigent homeless persons sitting, lying, or sleeping on City-owned public property” with some exceptions
4. This section of the municipal code appears to have been last amended on June 7, 2021"
Aliso Viejo|7a7d0a87e2,Orange County,Aliso Viejo,Proposed Ordinance,,Nov. 2024 Unanimous vote to remove the exception in their anti-camping law (no beds needed in shelters to arrest for homelessness)
"Antioch|Antioch, Cal., Mun. Code § 10-2.12 (1996)",Contra Costa County,Antioch,"Past Ordinance, Proposed Ordinance","Antioch, Cal., Mun. Code § 10-2.12 (1996)","Antioch has a strict anti-camping provision on the books, and the mayor announced plans to strengthen it. Antioch, Cal., Mun. Code § 10-2.12 (1996). As far as I can tell, the ordinance hasn't been changed, but it might be enforced more strictly now."
Apple Valley|777f43810e,San Bernardino County,Apple Valley,Past Ordinance,,"Prohibits sitting or lying on public ways / camping and sleeping outdoors or in a vehicle, or park a recreational vehicle overnight in a public location. Adopted 2005"
Arcadia|0b9c10de23,Los Angeles County,Arcadia,Past Ordinance,,"Arcadia had an existing camping ordinance that was unenforceable under Martin. Per their website, they will resume enforcement."
Arcadia|7a5496ebae,Los Angeles County,Arcadia,Past Ordinance,,"City of Arcadia website - Arcadia’s anti-camping laws paused enforcement after *Martin v. Boise*, and have resumed post-Grants Pass"
Arvin|8.330.030,Kern County,Arvin,Past Ordinance,8.330.030,"Prohibits camping and using camp paraphernalia, which includes even ""materials intended to be used as beds or bedding."" Storing personal property in public spaces is also prohibited, even if moved between public spaces throughout the day. This ordinance defines everything broadly, apparently to target activity of homeless population. Exception: ""Absent exigent circumstances posing an immediate threat to the public health, safety, or welfare, the provisions of 8.330.030(A) will not be enforced against individuals based solely upon the fact that they are sitting, lying, or sleeping on city-owned public property, when such individuals do not have access to adequate shelter space."" (aligns with Boise, ripe for amendment in light of Grants Pass). Adopted 2/8/2022."
Atherton|Municipal Code 12.16.010-,San Mateo County,Atherton,"Past Ordinance, Proposed Ordinance",Municipal Code 12.16.010-,"Municipal Code 12.16.010-Camping or building fires or Picnic on public street prohibited.
Atherton’s ordinance banning overnight camping in vehicles was finalized on Nov. 20 by a unanimous vote of the City Council.
However, there is a proposed ordinance would permit people experiencing homelessness to be charged with a misdemeanor after receiving two written warnings and declining two offers of shelter. The ordinance defines an encampment as any ""tent, makeshift structure or collection of belongings"" located in an area not meant for habitation and with no set plans to move."
Bakersfield|74a192964e,Kern County,Bakersfield,Past Ordinance,,Camping prohibited on public property. Sleeping outside on public property prohibited between sunset and sunrise. Adopted 1988.
Bakersfield|Municipal Code 12.56.050,Kern County,Bakersfield,Proposed Ordinance,Municipal Code 12.56.050,"Amendment to Municipal Code 12.56.050 (prohibited acts in parks) currently pending codification. Amendment replaces the following language: ""Be in or upon any park between the hours of ten p.m. and five a.m., except for participants in city-sponsored events, for which the prohibited hours shall be twelve midnight to five a.m.; provided, however, that camping and lodging overnight may be permitted when such camping or lodging is part of an authorized recreational outing under the supervision of the division of recreation and parks of the city pursuant to a permit..."" with ""Be in or upon any park between the hours of ten p.m and five a.m....No person shall construct or maintain any building, structure, tent or any other thing in any park that may be used for housing accommodation or camping."" Passed 11/6/2024 (post-Grants pass). The last time this provision was updated was 2007. Meeting agenda doesn't contain any clues as to why this change was made other than removing ""extraneous permit language."""
Baldwin Park|codes 99.01-99.04,Los Angeles County,Baldwin Park,Past Ordinance,codes 99.01-99.04,"Existing codes 99.01-99.04 banned camping, which was unenforceable until Grants Pass decision. Enforcement has likely begun again, as shown in a July 2024 internal staff memo recommending it."
Banning|6cc51fd4da,Riverside County,Banning,Past Ordinance,,"Unlawful camping ordinance. Specifies that sleeping on its own does not constitute camping, but includes sleeping bags and bedrolls as ""camp paraphernalia"" such that if sleeping bags/bedrolls are used ""in such a way as will facilitate sleeping,"" it is unlawful camping. Adopted 4/23/2024 (pre-Grants Pass)"
Banning|828561a0d1,Riverside County,Banning,Past Ordinance,,"Sitting, lying, sleeping in public places is unlawful if obstructing traffic, between 6am and 10pm. Includes sleeping in vehicle parked in public. From 10pm to 6am, sleeping prohibited in public UNLESS no sleeping/shelter spaces practically available. Adopted 4/23/2024 (pre-Grants Pass)"
Barstow|4d1bf1fd2d,San Bernardino County,Barstow,Past Ordinance,,"Prohibits sitting or lying on public ways, adopted 1987 / prohibited camping in public park, Adpoted 2008-2010"
Beaumont|7aea5d3fed,Riverside County,Beaumont,Past Ordinance,,"Unlawful camping/unlawful storage of personal property ordinance. Encapsulates public/private property. Includes bedrolls as ""camp paraphernalia."" Adopted 9/3/2024 (post-Grants Pass)"
Belmont|Sec. 16-29,San Mateo County,Belmont,Past Ordinance,Sec. 16-29,Belmont City Code Sec. 16-29. limits on special activities like overnight camping except at locations specifically designated for such activities.
Berkeley|b1fd1fdf26,Alameda County,Berkeley,"Past Ordinance, Anecdote/Interview",,"On Sept. 10, 2024, City Council approved legislation that broadened the city’s authority to sweep camps even when shelter isn’t available.

1. The resolution said that the city wouldn’t sweep encampments unless it was able to offer shelter to displaced people, but it also outlined several exceptions including encampments that posed a health or safety hazard.
2. Also on Sept. 10, 2024, nine business and property owners sued the city over a longstanding homeless encampment, citing public and private nuisances.
3. On Jan. 7, 2025, the city posted notice that officials had found such nuisance conditions at a longstanding encampment and directed everyone living there leave by Feb. 10 or the city would remove all property remaining on the property.
4. On Feb. 13, the Berkeley Homeless Union sued the city to enjoin Berkeley to sweep the encampment.
5. As of Feb. 14, a federal judge has temporarily blocked Berkeley from clearing the encampment."
Big Bear Lake|6c36e1bd0a,San Bernardino County,Big Bear Lake,Past Ordinance,,"Prohibited caamping and loitering, storage personal property, adopted in 2019. Penalty"
Brisbane|c30e27a057,San Mateo County,Brisbane,Past Ordinance,,"12, 2024In Brisbane from Nov, it is illegal to camp overnight in a vehicle on a road or road related area (e.g. footpath, dividing strip or public cycle paths) unless it is in a designated signed area or tourist accommodation area.
Council may issue you with a fine if you camp in your vehicle overnight on a road or park in Brisbane.
Sleeping in a vehicle is not prohibited when:
it is required for fatigue management
it is required for personal safety
otherwise in emergent circumstances."
Broadmoor|e337447384,San Mateo County,Broadmoor,Past Ordinance,,No local ordinance found. Refer to the county ordinance.
Burlingame|§ 13.32.190(,San Mateo County,Burlingame,Past Ordinance,§ 13.32.190(,"In Code of Ordinance§ 13.32.190(Ord. 1259 § 2, (1983)), no person shall use any trailer, semitrailer, camper, camp trailer, house car, trailer coach, mobile home or any other vehicle for the purpose of sleeping or living quarters whether on public or private property.
In Burlingame State Park, visitors must leave by 10 PM.
Only one family is allowed per campsite.
Non-family groups are limited to six people per campsite.
Cabins are limited to six people, one tent, and two vehicles.
Campsites are allowed two vehicles maximum.
The number of tents allowed on a site varies by campground."
California City|94d6553fa8,Kern County,California City,Past Ordinance,,Permit required to camp in public parks.
Calimesa|6c618b5385,Riverside County,Calimesa,Proposed Ordinance,,"Two proposed ordinances related to homelessness in November 2024 city council meeting agenda. Agenda explicitly references Grants Pass decision as motivation to prepare ordinances ""specifically related to homelessness."" One prohibits unlawful camping/using camp paraphernalia on public property, obstructing right of ways, sitting and lying on public benches, & public urination/defecation; the other declares shopping cart use for personal belongings a public nuisance"
Canyon Lake|c8b0ca6a4e,Riverside County,Canyon Lake,Past Ordinance,,"Camping prohibited on public/private property, including sleeping in a vehicle. Adopted 7/10/2013."
Canyon Lake|fa3e2845e6,Riverside County,Canyon Lake,Past Ordinance,,"Sitting, lying, sleeping, or storing property in public right of way prohibited. Adopted 10/6/2021."
Carlsbad|610bc6702f,San Diego County,Carlsbad,Past Ordinance,,"Aug. 2024
City of Carlsbad accepted $5.3 mil from Encampment Resolution Funding Program to ""address"" State Route 78 encampments."
